?a  <isKnownFor>  ?b   => ?a  <created>  ?b	258
?a  <created>  ?b   => ?a  <isKnownFor>  ?b	9676
?a  <isLeaderOf>  ?b  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	3
?a  <wasBornIn>  ?b  ?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	62
?a  <worksAt>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	3
?a  <hasAcademicAdvisor>  ?f  ?f  <livesIn>  ?b   => ?a  <livesIn>  ?b	9
?e  <hasAcademicAdvisor>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	15
?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	150
?a  <hasChild>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	12
?e  <hasChild>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	27
?e  <livesIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	4
?a  <isLocatedIn>  ?f  ?f  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2456
?e  <hasChild>  ?b  ?a  <created>  ?e   => ?a  <created>  ?b	7
?a  <hasChild>  ?b  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	4
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	52
?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <created>  ?b	40
?a  <directed>  ?b   => ?a  <created>  ?b	715
?a  <produced>  ?b  ?a  <directed>  ?b   => ?a  <created>  ?b	29
?a  <produced>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	47
?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	48
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	695
?a  <hasChild>  ?b  ?b  <hasChild>  ?a   => ?a  <isMarriedTo>  ?b	3
?a  <produced>  ?b  ?a  <actedIn>  ?b   => ?a  <created>  ?b	40
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	185
?b  <hasChild>  ?a  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	14
?a  <created>  ?b   => ?a  <directed>  ?b	9462
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	52
?a  <produced>  ?b  ?a  <actedIn>  ?b   => ?a  <directed>  ?b	48
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	412
?e  <diedIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	5
