?e  <isMarriedTo>  ?a  ?e  <hasChild>  ?b   => ?a  <hasChild>  ?b	0.00388062	0.31839031	0.57565326	0.57565326	3679	6391	?b	2712
?a  <isMarriedTo>  ?f  ?f  <hasChild>  ?b   => ?a  <hasChild>  ?b	0.00388695	0.31890956	0.56113903	0.56113903	3685	6567	?b	2882
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.00670644	0.53014258	0.53014258	0.91785766	6358	11993	?b	5635
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b	0.00106641	0.03020345	0.49827501	0.58676727	1011	2029	?b	1018
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	0.00040504	0.01147193	0.38285145	0.45229682	384	1003	?b	619
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.00019092	0.01240321	0.33705773	0.6988417	181	537	?a	356
?a  <dealsWith>  ?f  ?f  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	0.00048415	0.66618287	0.28194103	0.28194103	459	1628	?a	1169
?c  <dealsWith>  ?b  ?a  <dealsWith>  ?c   => ?a  <dealsWith>  ?b	0.00048415	0.66618287	0.28194103	0.28194103	459	1628	?a	1169
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.00017826	0.01158089	0.22807018	0.68421053	169	741	?a	572
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	0.00021834	0.01025971	0.20638086	0.38983051	207	1003	?b	796
?a  <directed>  ?b   => ?a  <created>  ?b	0.006621	0.03136023	0.18752427	0.32464443	6277	33473	?b	27196
?a  <livesIn>  ?f  ?f  <hasCapital>  ?b   => ?a  <livesIn>  ?b	0.00069301	0.04502159	0.18533145	0.18533145	657	3545	?a	2888
?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	0.00098941	0.06427739	0.1780224	0.1780224	938	5269	?a	4331
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	0.00198198	0.15667473	0.17321165	0.40981461	1879	10848	?b	8969
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	0.00106641	0.05010904	0.1610642	0.37472202	1011	6277	?b	5266
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	0.00028163	0.38751814	0.15442452	0.2177814	267	1729	?a	1462
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b	0.00001899	0.02241594	0.14285714	0.64285714	18	126	?a	108
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0.00009915	0.13642961	0.13642961	0.18323587	94	689	?a	595
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.00070039	0.04550127	0.13490451	0.13490451	664	4922	?a	4258
?c  <hasAcademicAdvisor>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.00009388	0.0365353	0.13444109	0.39035088	89	662	?a	573
?a  <imports>  ?b   => ?a  <exports>  ?b	0.00004641	0.08678501	0.13095238	0.14473684	44	336	?b	292
?a  <produced>  ?b   => ?a  <directed>  ?b	0.00239546	0.06784573	0.11255948	0.13395069	2271	20176	?b	17905
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	0.00011708	0.33035714	0.10581506	0.14879357	111	1049	?a	938
?c  <isCitizenOf>  ?b  ?a  <influences>  ?c   => ?a  <isCitizenOf>  ?b	0.000154	0.01002059	0.10564399	0.51957295	146	1382	?a	1236
?a  <produced>  ?b   => ?a  <created>  ?b	0.0021402	0.01013699	0.10056503	0.15689762	2029	20176	?b	18147
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b	0.00007911	0.22321429	0.09282178	0.14097744	75	808	?a	733
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.000231	0.01844211	0.08990148	0.16246291	219	2436	?a	2217
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0.00206741	0.03502314	0.08846362	0.22531325	1960	22156	?a	20196
?a  <exports>  ?b   => ?a  <imports>  ?b	0.00004641	0.13095238	0.08678501	0.10328638	44	507	?a	463
?c  <hasAcademicAdvisor>  ?a  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.00004958	0.01929392	0.08655617	0.21860465	47	543	?a	496
